method,male_cutoff_hz,female_cutoff_hz,male_si_sdr_db,female_si_sdr_db,avg_si_sdr_db,min_si_sdr_db,male_snr_db,female_snr_db,male_corr,female_corr,avg_corr,male_spectral_l1,female_spectral_l1,reconstruction_error,balanced_score
Butterworth,900.0,1000.0,0.8746472129214155,-5.437883716707361,-2.281618251892973,-5.437883716707361,2.8944907817183427,1.0693602762523324,0.7417406890691861,0.47152258227845506,0.6066316356738206,nan,nan,0.05794644407625775,-3.903189727051528
Butterworth,950.0,1050.0,0.9252372478621034,-5.49754194063834,-2.286152346388118,-5.49754194063834,2.8998966564318795,1.050142636776611,0.7436803066474288,0.46900692321338777,0.6063436149304082,nan,nan,0.05532547557646882,-3.932887037999409
Butterworth,1000.0,1100.0,0.9850208582244385,-5.568745696316885,-2.291862419046223,-5.568745696316885,2.9152658060467793,1.0290609497103442,0.7459628184880208,0.4660121061985364,0.6059874623432786,nan,nan,0.0518877924382964,-3.9680359273947015
Butterworth,850.0,1000.0,0.8546389815117222,-5.437883716707361,-2.2916223675978196,-5.437883716707361,2.9157078505843255,1.0693602762523324,0.7409715394020552,0.47152258227845506,0.6062470608402551,nan,nan,0.08850263229201977,-3.9750753688550287
Butterworth,900.0,1050.0,0.8746472129214155,-5.49754194063834,-2.3114473638584623,-5.49754194063834,2.8944907817183427,1.050142636776611,0.7417406890691861,0.46900692321338777,0.605373806141287,nan,nan,0.08368684693715633,-4.016844415769371
Butterworth,1050.0,1150.0,1.0383221238613074,-5.656044366179178,-2.3088611211589356,-5.656044366179178,2.9287769274046154,1.0054278801034555,0.7479889935909808,0.46235201680570703,0.6051705051983439,nan,nan,0.0474973405982383,-4.021536975048313
Butterworth,800.0,1000.0,0.8770437141142815,-5.437883716707361,-2.28042000129654,-5.437883716707361,2.973529339629064,1.0693602762523324,0.7418327374065814,0.47152258227845506,0.6066776598425182,nan,nan,0.12294215875539792,-4.03189085747598
Butterworth,950.0,1100.0,0.9252372478621034,-5.568745696316885,-2.3217542242273908,-5.568745696316885,2.8998966564318795,1.0290609497103442,0.7436803066474288,0.4660121061985364,0.6048462064229826,nan,nan,0.0793296092906488,-4.055093878121166
Butterworth,750.0,1000.0,0.9280517203757344,-5.437883716707361,-2.2549159981658136,-5.437883716707361,3.058759962521724,1.0693602762523324,0.7437879956691509,0.47152258227845506,0.6076552889738029,nan,nan,0.16344734738371702,-4.085441973339322
Butterworth,850.0,1050.0,0.8546389815117222,-5.49754194063834,-2.3214514795633088,-5.49754194063834,2.9157078505843255,1.050142636776611,0.7409715394020552,0.46900692321338777,0.6049892313077214,nan,nan,0.11263426732082474,-4.085512521908686
Butterworth,1100.0,1200.0,1.0783652848124894,-5.759559192735174,-2.3405969539613425,-5.759559192735174,2.9354980505374364,0.9791430106224086,0.7495056463710354,0.45802914138630985,0.6037673938786726,nan,nan,0.04345075722238286,-4.0997432770163496
Butterworth,1000.0,1150.0,0.9850208582244385,-5.656044366179178,-2.3355117539773698,-5.656044366179178,2.9152658060467793,1.0054278801034555,0.7459628184880208,0.46235201680570703,0.6041574176468639,nan,nan,0.073658219915344,-4.102535541603919
