method,stem,reference_crossover_hz,si_sdr_db,snr_db,corr,mse,spectral_l1,reconstruction_error
ReferenceCrossoverButterworth,male,362.9821384342756,1.0447099800855733,3.544099588594265,0.7482312558902887,0.0063672554679214954,0.000647318025585264,0.00013714333302115622
ReferenceCrossoverButterworth,female,362.9821384342756,1.6473492039363733,3.8651776006196203,0.7705246013957708,0.005535931792110205,0.0005768451956100762,0.00013714333302115622
ReferenceSpectrumWiener,male,362.9821384342756,2.6615096045957194,4.029858050877953,0.80534917005139,0.005693461745977402,0.0006291122990660369,3.348262000660548e-08
ReferenceSpectrumWiener,female,362.9821384342756,2.192188558040719,3.813887617315524,0.7896706013842535,0.005601698532700539,0.0006089704693295062,3.348262000660548e-08
