method,male_cutoff_hz,female_cutoff_hz,male_si_sdr_db,female_si_sdr_db,avg_si_sdr_db,min_si_sdr_db,male_snr_db,female_snr_db,male_corr,female_corr,avg_corr,male_spectral_l1,female_spectral_l1,reconstruction_error,balanced_score
Butterworth,900.0,1000.0,0.8746472129214155,-5.437883716707361,-2.281618251892973,-5.437883716707361,2.8944907817183427,1.0693602762523324,0.7417406890691861,0.47152258227845506,0.6066316356738206,nan,nan,0.05794644407625775,-3.903189727051528
Chebyshev-I,950.0,1050.0,1.2679722209627426,-5.827781520017701,-2.279904649527479,-5.827781520017701,3.4398269470682012,0.972331491926939,0.7566216006493205,0.4551904964656692,0.6059060485574949,nan,nan,0.13203576673283496,-4.24605484588701
FIR-Hamming,1100.0,1200.0,1.047479618297296,-5.969132613562685,-2.4608264976326946,-5.969132613562685,2.878425978832439,0.9579955944705796,0.7483362580450005,0.44933603043767306,0.5988361442413368,nan,nan,0.07870113035790002,-4.405122776647165
Elliptic,950.0,1050.0,1.0558609073118639,-5.927270953766474,-2.435705023227305,-5.927270953766474,3.3218133218793158,0.9508671828027928,0.7486538696290758,0.4510660069620839,0.5998599382955798,nan,nan,0.1439172040963467,-4.487455031712075
